project_id,camera_id,make,model,serial_number,year_purchased
,,,,,
KONPLONG19-20,CAM67096,Panthera,V4,,
KONPLONG19-20,CAM68952,Panthera,V4,,
KONPLONG19-20,CAM69019,Panthera,V4,,
KONPLONG19-20,CAM69014,Panthera,V4,,
KONPLONG19-20,CAM67101,Panthera,V4,,
KONPLONG19-20,CAM68998,Panthera,V4,,
KONPLONG19-20,CAM67128,Panthera,V4,,
KONPLONG19-20,CAM69022,Panthera,V4,,
KONPLONG19-20,CAM68861,Panthera,V4,,
KONPLONG19-20,CAM68988,Panthera,V4,,
KONPLONG19-20,CAM68920,Panthera,V4,,
KONPLONG19-20,CAM68947,Panthera,V4,,
KONPLONG19-20,CAM68973,Panthera,V4,,
KONPLONG19-20,CAM69029,Panthera,V4,,
KONPLONG19-20,CAM67168,Panthera,V4,,
KONPLONG19-20,CAM68965,Panthera,V4,,
KONPLONG19-20,CAM68990,Panthera,V4,,
KONPLONG19-20,CAM69004,Panthera,V4,,
KONPLONG19-20,CAM68823,Panthera,V4,,
KONPLONG19-20,CAM68872,Panthera,V4,,
KONPLONG19-20,CAM68876,Panthera,V4,,
KONPLONG19-20,CAM68808,Panthera,V4,,
KONPLONG19-20,CAM68906,Panthera,V4,,
KONPLONG19-20,CAM68922,Panthera,V4,,
KONPLONG19-20,CAM68978,Panthera,V4,,
KONPLONG19-20,CAM67011,Panthera,V4,,
KONPLONG19-20,CAM68874,Panthera,V4,,
KONPLONG19-20,CAM66941,Panthera,V4,,
KONPLONG19-20,CAM68900,Panthera,V4,,
KONPLONG19-20,CAM67111,Panthera,V4,,
KONPLONG19-20,CAM69216,Panthera,V4,,
KONPLONG19-20,CAM68858,Panthera,V4,,
KONPLONG19-20,CAM67054,Panthera,V4,,
KONPLONG19-20,CAM68873,Panthera,V4,,
KONPLONG19-20,CAM68982,Panthera,V4,,
KONPLONG19-20,CAM68890,Panthera,V4,,
KONPLONG19-20,CAM68974,Panthera,V4,,
KONPLONG19-20,CAM68980,Panthera,V4,,
KONPLONG19-20,CAM68909,Panthera,V4,,
KONPLONG19-20,CAM68959,Panthera,V4,,
KONPLONG19-20,CAM67136,Panthera,V4,,
KONPLONG19-20,CAM68921,Panthera,V4,,
KONPLONG19-20,CAM68907,Panthera,V4,,
KONPLONG19-20,CAM68962,Panthera,V4,,
KONPLONG19-20,CAM66936,Panthera,V4,,
KONPLONG19-20,CAM67163,Panthera,V4,,
KONPLONG19-20,CAM68924,Panthera,V4,,
KONPLONG19-20,CAM68948,Panthera,V4,,
KONPLONG19-20,CAM66998,Panthera,V4,,
KONPLONG19-20,CAM68976,Panthera,V4,,
KONPLONG19-20,CAM68825,Panthera,V4,,
KONPLONG19-20,CAM69002,Panthera,V4,,
KONPLONG19-20,CAM66976,Panthera,V4,,
KONPLONG19-20,CAM67035,Panthera,V4,,
KONPLONG19-20,CAM66927,Panthera,V4,,
KONPLONG19-20,CAM69227,Panthera,V4,,
KONPLONG19-20,CAM68979,Panthera,V4,,
KONPLONG19-20,CAM68995,Panthera,V4,,
KONPLONG19-20,CAM66989,Panthera,V4,,
KONPLONG19-20,CAM67150,Panthera,V4,,
KONPLONG19-20,CAM67075,Panthera,V4,,
KONPLONG19-20,CAM68840,Panthera,V4,,
KONPLONG19-20,CAM67105,Panthera,V4,,
KONPLONG19-20,CAM69217,Panthera,V4,,
KONPLONG19-20,CAM68975,Panthera,V4,,
KONPLONG19-20,CAM69010,Panthera,V4,,
KONPLONG19-20,CAM69228,Panthera,V4,,
KONPLONG19-20,CAM68999,Panthera,V4,,
KONPLONG19-20,CAM67027,Panthera,V4,,
KONPLONG19-20,CAM68942,Panthera,V4,,
KONPLONG19-20,CAM67026,Panthera,V4,,
KONPLONG19-20,CAM67014,Panthera,V4,,
KONPLONG19-20,CAM68841,Panthera,V4,,
KONPLONG19-20,CAM66962,Panthera,V4,,
KONPLONG19-20,CAM68810,Panthera,V4,,
KONPLONG19-20,CAM68859,Panthera,V4,,
KONPLONG19-20,CAM68919,Panthera,V4,,
KONPLONG19-20,CAM66996,Panthera,V4,,
KONPLONG19-20,CAM67119,Panthera,V4,,
KONPLONG19-20,CAM68809,Panthera,V4,,
KONPLONG19-20,CAM67061,Panthera,V4,,
KONPLONG19-20,CAM69234,Panthera,V4,,
KONPLONG19-20,CAM68930,Panthera,V4,,
KONPLONG19-20,CAM68946,Panthera,V4,,
KONPLONG19-20,CAM66929,Panthera,V4,,
KONPLONG19-20,CAM69020,Panthera,V4,,
KONPLONG19-20,CAM68857,Panthera,V4,,
KONPLONG19-20,CAM68939,Panthera,V4,,
KONPLONG19-20,CAM69008,Panthera,V4,,
KONPLONG19-20,CAM69021,Panthera,V4,,
KONPLONG19-20,CAM68994,Panthera,V4,,
KONPLONG19-20,CAM69012,Panthera,V4,,
KONPLONG19-20,CAM68826,Panthera,V4,,
KONPLONG19-20,CAM66990,Panthera,V4,,
KONPLONG19-20,CAM69028,Panthera,V4,,
KONPLONG19-20,CAM68875,Panthera,V4,,
KONPLONG19-20,CAM68954,Panthera,V4,,
KONPLONG19-20,CAM68839,Panthera,V4,,
KONPLONG19-20,CAM69016,Panthera,V4,,
KONPLONG19-20,CAM69001,Panthera,V4,,
KONPLONG19-20,CAM67135,Panthera,V4,,
KONPLONG19-20,CAM68953,Panthera,V4,,
KONPLONG19-20,CAM69025,Panthera,V4,,
KONPLONG19-20,CAM68908,Panthera,V4,,
KONPLONG19-20,CAM68912,Panthera,V4,,
KONPLONG19-20,CAM68837,Panthera,V4,,
KONPLONG19-20,CAM68986,Panthera,V4,,
KONPLONG19-20,CAM67139,Panthera,V4,,
KONPLONG19-20,CAM66961,Panthera,V4,,
KONPLONG19-20,CAM67102,Panthera,V4,,
KONPLONG19-20,CAM68966,Panthera,V4,,
KONPLONG19-20,CAM68916,Panthera,V4,,
KONPLONG19-20,CAM67072,Panthera,V4,,
KONPLONG19-20,CAM69005,Panthera,V4,,
KONPLONG19-20,CAM67170,Panthera,V4,,
KONPLONG19-20,CAM68704,Panthera,V4,,
KONPLONG19-20,CAM68992,Panthera,V4,,
KONPLONG19-20,CAM66983,Panthera,V4,,
KONPLONG19-20,CAM68824,Panthera,V4,,
KONPLONG19-20,CAM68885,Panthera,V4,,
KONPLONG19-20,CAM67062,Panthera,V4,,
KONPLONG19-20,CAM68950,Panthera,V4,,
KONPLONG19-20,CAM68836,Panthera,V4,,
KONPLONG19-20,CAM68949,Panthera,V4,,
KONPLONG19-20,CAM67081,Panthera,V4,,
KONPLONG19-20,CAM67127,Panthera,V4,,
KONPLONG19-20,CAM66928,Panthera,V4,,
